Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,7,10,-1,-1,185,33,18,1,4,4,3,4,3,4,6,-1,-1,,
1,23,4,41,10,201.5,47,24,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,197,26,39,1,4,4,4,4,6,-1,-1,-1,-1,,
38,5,18,35,37,204.3,50,43,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,194,13,8,1,3,4,4,4,6,-1,-1,-1,-1,,
8,36,25,24,34,216.8,42,23,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,259,21,6,1,4,4,4,4,6,-1,-1,-1,-1,,
5,12,50,3,47,171.14,39,37,0,2,9,6,-1,-1,-1,-1,-1,-1,,
7,7,7,-1,-1,85.6,31,44,1,2,9,6,-1,-1,-1,-1,-1,-1,,
25,40,20,43,4,283.54,22,17,0,2,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,172.8,45,37,1,3,4,4,3,4,6,-1,-1,-1,,
44,39,46,38,51,319.45,18,29,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,289.5,15,0,1,4,4,4,4,6,-1,-1,-1,-1,,
44,15,25,0,9,155.7,27,37,0,2,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,298.14,6,12,1,3,4,2,4,6,-1,-1,-1,-1,,
47,12,40,11,0,290.14,24,35,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,163.2,44,17,1,3,4,3,4,4,6,-1,-1,-1,,
32,8,34,14,9,372.45,49,38,0,3,3,3,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,294.4,20,21,1,2,-2,2,4,4,6,-1,-1,-1,,
44,47,49,37,31,283.14,46,42,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,167,34,45,1,3,4,3,4,3,4,3,7,-1,,
33,3,47,32,35,342.44,22,49,0,3,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,105.7,8,34,1,4,4,3,4,4,6,-1,-1,-1,,
45,47,49,22,2,373.95,23,44,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,290.5,43,32,1,4,4,4,4,3,7,-1,-1,-1,,
38,28,49,20,39,466.95,11,18,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,400,41,0,1,4,4,4,4,6,-1,-1,-1,-1,,
46,3,29,20,32,429.55,45,7,0,3,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,436.1,47,18,1,4,2,3,4,3,4,6,-1,-1,,
50,44,34,39,0,420.35,48,25,0,2,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,443.6,22,38,1,3,4,3,4,4,6,-1,-1,-1,,
32,22,44,12,46,294.53,11,5,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,499,50,3,1,4,4,4,4,3,6,-1,-1,-1,,
31,4,36,0,37,233.53,29,21,0,2,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,559.1,12,24,1,3,4,2,3,4,6,-1,-1,-1,,
38,27,29,47,22,263.03,10,46,0,2,3,4,2,-2,4,6,-1,-1,,
5,7,10,-1,-1,528.1,13,37,1,2,-2,4,4,3,4,6,-1,-1,,
2,30,7,34,45,261.53,19,10,0,2,2,3,4,4,7,-1,-1,-1,,
4,8,10,-1,-1,528.1,27,29,1,3,4,2,4,4,6,-1,-1,-1,,
27,10,23,4,39,229.53,21,12,0,2,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,559.6,49,3,1,3,4,4,3,4,6,-1,-1,-1,,
38,3,51,40,34,524.1,50,4,0,2,2,3,4,4,6,-1,-1,-1,,
4,8,10,-1,-1,263.03,30,36,1,3,4,2,4,4,6,-1,-1,-1,,
36,32,7,2,35,217.03,48,11,0,2,4,4,4,6,-1,-1,-1,-1,,
