Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
45,27,22,14,35,513.25,48,40,1,2,3,6,-1,-1,-1,-1,-1,-1
6,6,6,-1,-1,174.75,24,26,0,2,9,6,-1,-1,-1,-1,-1,-1
31,19,39,9,3,185.4,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,763.35,51,10,1,4,4,3,4,4,6,-1,-1,-1
33,47,3,46,4,439,43,42,1,2,2,2,-2,6,-1,-1,-1,-1
9,9,9,-1,-1,160,50,51,0,3,2,2,9,6,-1,-1,-1,-1
37,21,51,11,48,177.4,38,46,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,770.85,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
41,12,5,15,49,204.4,10,50,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,742.35,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
42,2,22,21,1,227.4,14,30,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,718.35,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
44,28,32,5,18,236,22,24,0,3,3,4,3,9,6,-1,-1,-1
5,7,9,-1,-1,707.85,46,49,1,2,-2,4,2,9,6,-1,-1,-1
44,48,25,41,23,465,-1,-1,0,3,3,4,4,4,7,-1,-1,-1
5,7,9,-1,-1,477.35,21,39,1,2,-2,4,4,4,6,-1,-1,-1
14,31,28,15,42,314.5,48,24,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,625.85,11,49,0,2,4,4,4,6,-1,-1,-1,-1
1,45,33,30,5,522.5,41,38,1,4,4,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,73.75,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1
15,44,43,29,20,304.25,38,40,1,3,4,3,4,3,2,6,-1,-1
4,7,10,-1,-1,635.1,-1,-1,0,2,2,-2,2,-2,3,7,-1,-1
48,7,31,21,45,536,50,8,1,9,-2,6,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,59.25,49,44,0,3,9,6,-1,-1,-1,-1,-1,-1
33,22,35,16,47,457.5,25,38,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,787.6,11,50,0,3,4,4,4,6,-1,-1,-1,-1
29,43,24,33,28,453.5,4,48,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,791.2,47,21,1,3,4,4,4,6,-1,-1,-1,-1
22,40,51,27,29,465,36,17,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,779.2,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
25,48,1,19,36,469.85,26,39,1,4,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,122.6,-1,-1,0,3,2,-2,4,3,7,-1,-1,-1
29,27,45,38,18,425,-1,-1,1,2,-2,4,4,3,4,3,7,-1
5,7,10,-1,-1,133.5,28,46,0,2,3,4,2,-2,9,-2,6,-1
43,20,8,46,2,457.35,14,23,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,133.6,51,7,1,3,4,4,4,6,-1,-1,-1,-1
27,28,5,17,46,652.7,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,589.2,8,9,1,3,4,4,4,6,-1,-1,-1,-1
26,31,30,0,38,403.5,34,43,0,2,3,4,3,2,-2,6,-1,-1
5,7,9,-1,-1,262,-1,-1,1,2,-2,4,2,4,3,7,-1,-1
10,45,23,4,47,523,50,40,1,2,-2,4,3,6,-1,-1,-1,-1
5,8,8,-1,-1,141.5,21,30,0,2,3,9,-2,6,-1,-1,-1,-1
51,14,21,16,8,501.2,38,27,0,2,4,2,-2,2,-2,6,-1,-1
4,6,9,-1,-1,736.4,19,15,1,3,4,4,3,4,3,6,-1,-1
43,0,28,29,1,568.7,31,39,1,3,4,3,2,2,6,-1,-1,-1
4,7,9,-1,-1,668.4,47,45,0,2,2,-2,3,3,6,-1,-1,-1
35,18,12,36,0,648.2,41,46,0,2,3,2,-2,2,-2,6,-1,-1
4,6,9,-1,-1,588.4,33,28,1,3,2,2,3,4,3,6,-1,-1
22,45,29,34,10,416.95,8,49,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,167,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
34,50,35,48,19,418.55,42,29,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,165,43,15,0,3,4,4,4,6,-1,-1,-1,-1
8,26,14,49,11,478.7,21,50,0,2,2,-2,2,-2,3,6,-1,-1
4,7,10,-1,-1,756.9,16,28,1,3,4,3,4,3,2,6,-1,-1
8,0,39,23,33,787.7,37,42,0,2,3,2,3,4,3,6,-1,-1
5,9,11,-1,-1,446.9,34,26,1,2,-2,4,2,4,2,6,-1,-1
39,35,10,3,12,954.8,44,32,0,2,4,2,-2,4,6,-1,-1,-1
4,6,9,-1,-1,277.6,50,9,1,3,4,4,3,4,6,-1,-1,-1
5,4,47,11,2,982.3,15,13,1,3,4,3,4,4,3,6,-1,-1
4,7,9,-1,-1,249.6,27,30,0,2,2,-2,4,2,-2,6,-1,-1
45,19,49,31,3,135,36,32,1,2,9,6,-1,-1,-1,-1,-1,-1
6,6,6,-1,-1,1040.95,39,38,0,2,2,6,-1,-1,-1,-1,-1,-1
47,3,44,13,45,71,28,12,0,9,6,-1,-1,-1,-1,-1,-1,-1
4,4,4,-1,-1,1184.45,42,32,1,3,6,-1,-1,-1,-1,-1,-1,-1
14,41,4,30,31,132,-1,-1,0,2,3,9,-2,7,-1,-1,-1,-1
5,8,8,-1,-1,1120.95,40,51,1,2,-2,4,3,6,-1,-1,-1,-1
34,30,19,15,16,80,41,32,1,9,6,-1,-1,-1,-1,-1,-1,-1
4,5,5,-1,-1,1252.45,47,46,0,2,6,-1,-1,-1,-1,-1,-1,-1
19,31,43,23,1,400,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,432,21,51,1,3,4,2,2,6,-1,-1,-1,-1
25,7,51,29,26,81.5,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1
4,9,11,-1,-1,1329.95,28,27,1,4,4,3,4,4,6,-1,-1,-1
3,0,28,44,46,69.5,11,34,1,9,6,-1,-1,-1,-1,-1,-1,-1
5,6,6,-1,-1,1341.45,36,37,0,2,6,-1,-1,-1,-1,-1,-1,-1
3,10,31,36,24,471,-1,-1,0,2,4,2,-2,4,7,-1,-1,-1
4,6,9,-1,-1,139,30,44,1,3,4,4,3,4,6,-1,-1,-1
4,42,50,26,6,443,-1,-1,1,3,4,4,3,4,3,7,-1,-1
4,6,9,-1,-1,166.5,37,46,0,2,4,2,-2,2,-2,6,-1,-1
35,42,40,45,22,388,48,18,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,420.6,23,19,0,2,2,-2,4,4,6,-1,-1,-1
19,2,6,14,3,408.8,-1,-1,0,3,3,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,401.5,18,44,1,4,2,4,4,6,-1,-1,-1,-1
37,13,2,44,43,408.8,12,18,0,3,2,-2,2,-2,4,6,-1,-1
4,7,10,-1,-1,401,51,14,1,4,4,3,4,3,4,6,-1,-1
40,50,39,38,13,439,0,12,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,473.5,45,41,0,2,4,3,4,6,-1,-1,-1,-1
27,29,43,10,42,427,31,19,0,2,2,3,3,4,6,-1,-1,-1
4,8,10,-1,-1,485,23,47,1,3,4,2,2,4,6,-1,-1,-1
31,27,16,47,3,202.6,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,464.5,48,24,1,3,4,3,4,4,6,-1,-1,-1
24,44,50,45,34,138.6,1,19,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,527.5,4,17,1,4,4,4,4,6,-1,-1,-1,-1
28,30,10,6,24,122,3,5,0,2,4,4,3,6,-1,-1,-1,-1
4,6,8,-1,-1,443.5,16,20,1,3,4,4,2,6,-1,-1,-1,-1
17,41,18,23,19,66.1,46,43,0,3,9,6,-1,-1,-1,-1,-1,-1
6,6,6,-1,-1,496.5,33,34,1,2,3,6,-1,-1,-1,-1,-1,-1
44,32,30,4,23,133.7,31,24,0,3,3,4,4,2,-2,6,-1,-1
5,7,9,-1,-1,428.4,-1,-1,1,2,-2,4,4,4,3,7,-1,-1
15,22,36,45,14,214.7,-1,-1,0,2,3,3,9,-2,7,-1,-1,-1
5,7,10,-1,-1,400,47,43,1,2,-2,2,2,3,6,-1,-1,-1
2,22,35,18,33,403,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
4,7,9,-1,-1,370.2,34,36,1,3,4,3,4,2,6,-1,-1,-1
11,37,45,5,46,230.35,3,51,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,689.6,27,18,1,4,4,4,4,6,-1,-1,-1,-1
15,0,43,23,28,199.45,-1,-1,1,3,4,2,2,4,9,7,-1,-1
4,8,10,-1,-1,718.1,31,41,0,2,2,3,3,2,-2,6,-1,-1
46,37,40,0,32,473.5,33,36,1,3,4,2,4,6,-1,-1,-1,-1
