Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
5,5,5,-1,-1,3.7,20,37,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
12,4,14,15,11,42.25,-1,-1,0,3,3,4,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,19,33,42,1,2,-2,4,4,4,6,-1,-1,-1,,
24,5,21,51,26,24.3,49,9,1,4,4,3,2,3,4,3,6,-1,,
4,7,10,-1,-1,36.45,42,4,0,3,2,-2,2,-2,2,-2,6,-1,,
50,15,39,35,45,18.05,-1,-1,0,2,3,7,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,2.8,40,9,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
45,39,41,9,36,40.25,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,20.85,47,29,1,3,4,3,4,4,6,-1,-1,-1,,
46,22,24,48,49,67.45,7,41,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,50,38,3,1,4,4,4,4,6,-1,-1,-1,-1,,
8,30,21,44,16,14.75,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,5.85,12,41,1,4,4,4,4,6,-1,-1,-1,-1,,
32,25,50,27,48,67.4,2,46,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,50.5,22,3,1,4,4,4,4,6,-1,-1,-1,-1,,
27,29,25,37,51,13.75,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,6.8,31,16,1,4,4,2,4,6,-1,-1,-1,-1,,
48,17,45,43,15,78.55,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,29.95,12,5,1,4,4,4,4,6,-1,-1,-1,-1,,
15,41,49,28,22,33.6,27,43,0,3,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,26.4,25,1,1,4,4,3,4,3,4,6,-1,-1,,
14,22,3,0,30,36.95,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,23.8,12,36,1,3,4,3,4,4,6,-1,-1,-1,,
10,17,2,32,18,67.2,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,51.35,39,14,1,4,4,4,4,6,-1,-1,-1,-1,,
41,35,15,14,4,17.15,18,30,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,38.85,44,9,0,3,4,4,4,6,-1,-1,-1,-1,,
28,23,7,42,41,80.7,-1,-1,0,3,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,27.4,40,3,1,4,4,4,3,4,6,-1,-1,-1,,
15,0,5,44,6,66.2,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,52.3,42,7,1,4,4,3,4,4,6,-1,-1,-1,,
32,12,30,17,10,34.9,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,25.6,36,13,1,3,4,4,4,6,-1,-1,-1,-1,,
