Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,6,6,-1,-1,273.4,18,51,0,2,3,6,-1,-1,-1,-1,-1,-1,,
30,29,22,43,38,505.1,11,27,1,3,2,2,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,310.45,41,44,0,2,3,3,4,6,-1,-1,-1,-1,,
39,22,20,48,26,94,-1,-1,0,3,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,183.5,50,13,1,4,4,2,3,4,6,-1,-1,-1,,
22,46,38,42,20,121.4,-1,-1,0,3,3,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,374.1,50,11,1,4,2,2,2,6,-1,-1,-1,-1,,
18,17,20,50,29,165.65,38,51,0,2,3,3,3,4,6,-1,-1,-1,,
5,7,9,-1,-1,266.95,43,47,1,2,-2,2,2,4,6,-1,-1,-1,,
28,29,5,22,11,84.4,-1,-1,0,3,3,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,410.6,4,27,1,4,2,2,4,6,-1,-1,-1,-1,,
48,36,46,47,40,200,25,37,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,346.8,17,23,1,3,4,4,4,6,-1,-1,-1,-1,,
20,17,9,43,8,90.2,23,15,1,3,4,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,209.3,42,5,0,2,4,3,3,6,-1,-1,-1,-1,,
20,21,22,8,11,41.4,49,3,0,2,9,6,-1,-1,-1,-1,-1,-1,,
6,6,6,-1,-1,201.5,13,41,1,2,3,6,-1,-1,-1,-1,-1,-1,,
33,12,49,14,6,240.15,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,191.95,5,40,1,4,4,4,4,6,-1,-1,-1,-1,,
30,5,14,6,1,71.4,24,50,0,3,3,3,4,2,3,6,-1,-1,,
5,7,9,-1,-1,423.1,36,33,1,2,-2,2,4,4,2,6,-1,-1,,
1,38,25,22,17,73,51,5,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,203.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
